gene,mean_ovarian carcinoma,mean_atypical endometriosis,log2FC,pvalue,padj
EXOSC2,9.072151016103449,8.75456030111111,0.31759071499233826,0.025497639591204747,0.04169208635859155
SERP1,9.445328839724137,9.014338066499999,0.4309907732241385,0.025973596152094245,0.04190406845871204
KHSRP,9.148474890413794,8.905402250055554,0.24307264035824083,0.028600015102523718,0.04553423457112329
LIFR,4.179869530827586,3.4810382383333334,0.698831292494253,0.029106936710329052,0.045739471973374225
KDELR3,7.458140068206896,6.805393689500001,0.6527463787068957,0.030118955152343106,0.04672299453119892
NOP14,9.842813549068964,9.648435458388889,0.1943780906800754,0.040701192887330345,0.06233980176413888
SEC31A,12.323828686896553,12.662184151666667,-0.3383554647701139,0.042298059068372744,0.06397581434091378
EDEM1,9.149177226413792,9.441111657444445,-0.2919344310306524,0.049731249973550926,0.0742898919357983
ASNS,8.256392111517242,7.845172081833334,0.4112200296839079,0.05467876646060615,0.08068452124065054
CXXC1,5.4172571801379314,5.666195450388889,-0.2489382702509575,0.05694693710114459,0.08301902878600596
LSM1,7.654962966103448,7.333931827222222,0.32103113888122614,0.05894196180667794,0.08490449260247655
DDX10,8.545004251965517,8.766614338555554,-0.22161008659003656,0.06444489080799519,0.09173919750314609
PDIA5,9.141238967517243,8.84232992511111,0.29890904240613203,0.0773548766389331,0.10883651248035937
DDIT4,9.674464138206897,9.139616678166668,0.5348474600402291,0.09162758979718556,0.1274360731662006
STAT3,11.011731831310342,10.74829080777778,0.2634410235325628,0.09714853065671719,0.13357922965298613
CANX,11.19386965,10.918504048833334,0.27536560116666564,0.09942514260692736,0.1340155455924633
BAG3,9.930782395827585,10.18873429238889,-0.25795189656130546,0.09968098432497269,0.1340155455924633
EXOSC10,10.21239079724138,10.060466519833334,0.15192427740804604,0.15947491012928358,0.2120490563257507
ATF6,9.690548440275862,9.483020315666668,0.207528124609194,0.1899397509353721,0.24981206373021766
CCL2,10.187895475551723,10.672598890777776,-0.4847034152260523,0.19853859208582555,0.25831365206865475
CNOT2,9.610597328034483,9.492820864611112,0.11777646342337178,0.2023356019851829,0.259910345683782
XPOT,8.40764914762069,8.246520376277779,0.16112877134291104,0.20406184165255614,0.259910345683782
WIPI1,8.504309671586208,8.248297951722222,0.2560117198639862,0.2394104218033828,0.3017568858146804
FKBP14,7.662563531551725,7.830577844666667,-0.1680143131149423,0.2604560411363163,0.3240626707500222
EIF4EBP1,8.697701463137932,8.472234640499998,0.22546682263793372,0.26246398126861303,0.3240626707500222
TUBB2A,6.931193194862069,7.286611745944445,-0.3554185510823755,0.2705118730464747,0.330625622612358
SDAD1,8.452412573620691,8.308815993000001,0.1435965806206898,0.28772015670679835,0.34727249528708937
ATF3,9.36759658375862,8.79564086361111,0.5719557201475105,0.28987208284294236,0.34727249528708937
IL6,6.468557063965517,5.9476119328333334,0.5209451311321835,0.3146366543751031,0.3732454429351713
SEC11A,8.38401465813793,8.564169758555556,-0.1801551004176254,0.33544115476093495,0.3940619390880886
VCP,11.340646591034485,11.224867323333335,0.11577926770114999,0.3418424448853004,0.39772053683770525
EDC4,6.718028922275862,6.622102915388889,0.09592600688697317,0.36275333004899857,0.4180300279612269
HERPUD1,10.399321195379308,10.597666155944445,-0.19834496056513728,0.43462670906577755,0.4951786867258283
EXOSC1,9.447218921965518,9.518338764444444,-0.07111984247892522,0.4378852849558978,0.4951786867258283
DNAJB9,7.732765526482758,7.865504192777777,-0.13273866629501896,0.4466263274165324,0.5003869038648187
CEBPB,7.764695526482758,7.568148868888888,0.19654665759387058,0.45630424386151985,0.5065395734609532
